pow thresold length_gain area_gain median budget solver time cost total_eca 
2.000000 0.010000 0.000000 1.000000 1400.000000 30.000000 randomized_rounding_draws=1000_log=0_parallel=0 6027 0.000000 4037.289582
2.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 bogo_draws=0_seed=0 0 35.000000 5533.201196
2.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 naive_eca_inc_log=0_parallel=1 73 35.000000 6533.429542
2.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 naive_eca_dec_log=0_parallel=1 80 35.000000 6528.507752
2.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 glutton_eca_inc_log=0_parallel=1 2233 35.000000 6533.429542
2.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 glutton_eca_dec_log=0_parallel=1 3392 35.000000 6533.429542
2.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 74 0.000000 4037.289582
2.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 randomized_rounding_draws=1000_log=0_parallel=0 6022 0.000000 4037.289582
2.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 bogo_draws=0_seed=0 0 40.000000 5814.068131
2.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 naive_eca_inc_log=0_parallel=1 75 40.000000 6823.194755
2.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 naive_eca_dec_log=0_parallel=1 72 40.000000 6819.968274
2.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 glutton_eca_inc_log=0_parallel=1 2412 40.000000 6826.509964
2.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 glutton_eca_dec_log=0_parallel=1 3221 40.000000 6826.509964
2.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 76 0.000000 4037.289582
2.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 randomized_rounding_draws=1000_log=0_parallel=0 6048 0.000000 4037.289582
