pow thresold length_gain area_gain median budget solver time cost total_eca 
1.000000 0.010000 0.000000 1.000000 1400.000000 30.000000 randomized_rounding_draws=1000_log=0_parallel=0 11932 30.000000 4650.934452 
1.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 bogo_draws=0_seed=0 0 35.000000 4343.460388 
1.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 naive_eca_inc_log=0_parallel=1 141 35.000000 4869.925320 
1.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 naive_eca_dec_log=0_parallel=1 139 35.000000 4877.627017 
1.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 glutton_eca_inc_log=0_parallel=1 4163 35.000000 4878.872929 
1.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 glutton_eca_dec_log=0_parallel=1 6482 35.000000 4878.872929 
1.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 396 35.000000 4878.872929 
1.000000 0.010000 0.000000 1.000000 1400.000000 35.000000 randomized_rounding_draws=1000_log=0_parallel=0 11926 35.000000 4857.935112 
1.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 bogo_draws=0_seed=0 0 40.000000 4536.752386 
1.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 naive_eca_inc_log=0_parallel=1 142 40.000000 5081.988527 
1.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 naive_eca_dec_log=0_parallel=1 145 40.000000 5069.845034 
1.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 glutton_eca_inc_log=0_parallel=1 4597 40.000000 5081.499782 
1.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 glutton_eca_dec_log=0_parallel=1 6101 40.000000 5081.988527 
1.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 391 40.000000 5081.988527 
1.000000 0.010000 0.000000 1.000000 1400.000000 40.000000 randomized_rounding_draws=1000_log=0_parallel=0 11917 40.000000 5058.585239 
1.000000 0.010000 0.000000 1.000000 1400.000000 45.000000 bogo_draws=0_seed=0 0 45.000000 4644.674224 
1.000000 0.010000 0.000000 1.000000 1400.000000 45.000000 naive_eca_inc_log=0_parallel=1 141 45.000000 5271.507573 
1.000000 0.010000 0.000000 1.000000 1400.000000 45.000000 naive_eca_dec_log=0_parallel=1 141 45.000000 5267.579738 
1.000000 0.010000 0.000000 1.000000 1400.000000 45.000000 glutton_eca_inc_log=0_parallel=1 5021 45.000000 5275.456133 
1.000000 0.010000 0.000000 1.000000 1400.000000 45.000000 glutton_eca_dec_log=0_parallel=1 5750 45.000000 5275.456133 
1.000000 0.010000 0.000000 1.000000 1400.000000 45.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 388 45.000000 5275.456133 
1.000000 0.010000 0.000000 1.000000 1400.000000 45.000000 randomized_rounding_draws=1000_log=0_parallel=0 11905 45.000000 5267.881137 
1.000000 0.010000 0.000000 1.000000 1400.000000 50.000000 bogo_draws=0_seed=0 0 50.000000 4835.681747 
1.000000 0.010000 0.000000 1.000000 1400.000000 50.000000 naive_eca_inc_log=0_parallel=1 142 50.000000 5455.433367 
1.000000 0.010000 0.000000 1.000000 1400.000000 50.000000 naive_eca_dec_log=0_parallel=1 141 50.000000 5451.205857 
1.000000 0.010000 0.000000 1.000000 1400.000000 50.000000 glutton_eca_inc_log=0_parallel=1 5397 50.000000 5466.276907 
1.000000 0.010000 0.000000 1.000000 1400.000000 50.000000 glutton_eca_dec_log=0_parallel=1 5322 50.000000 5466.276907 
1.000000 0.010000 0.000000 1.000000 1400.000000 50.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 388 50.000000 5466.276907 
1.000000 0.010000 0.000000 1.000000 1400.000000 50.000000 randomized_rounding_draws=1000_log=0_parallel=0 11946 50.000000 5438.372974 
1.000000 0.010000 0.000000 1.000000 1400.000000 55.000000 bogo_draws=0_seed=0 0 55.000000 4974.018218 
1.000000 0.010000 0.000000 1.000000 1400.000000 55.000000 naive_eca_inc_log=0_parallel=1 141 55.000000 5642.840901 
1.000000 0.010000 0.000000 1.000000 1400.000000 55.000000 naive_eca_dec_log=0_parallel=1 145 55.000000 5628.828964 
1.000000 0.010000 0.000000 1.000000 1400.000000 55.000000 glutton_eca_inc_log=0_parallel=1 5865 55.000000 5646.515673 
1.000000 0.010000 0.000000 1.000000 1400.000000 55.000000 glutton_eca_dec_log=0_parallel=1 4941 55.000000 5646.515673 
1.000000 0.010000 0.000000 1.000000 1400.000000 55.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 391 55.000000 5646.515673 
1.000000 0.010000 0.000000 1.000000 1400.000000 55.000000 randomized_rounding_draws=1000_log=0_parallel=0 11904 55.000000 5621.418895 
1.000000 0.010000 0.000000 1.000000 1400.000000 60.000000 bogo_draws=0_seed=0 0 60.000000 5182.729379 
1.000000 0.010000 0.000000 1.000000 1400.000000 60.000000 naive_eca_inc_log=0_parallel=1 142 60.000000 5799.738605 
1.000000 0.010000 0.000000 1.000000 1400.000000 60.000000 naive_eca_dec_log=0_parallel=1 140 60.000000 5796.059750 
1.000000 0.010000 0.000000 1.000000 1400.000000 60.000000 glutton_eca_inc_log=0_parallel=1 6200 60.000000 5811.724549 
1.000000 0.010000 0.000000 1.000000 1400.000000 60.000000 glutton_eca_dec_log=0_parallel=1 4512 60.000000 5811.724549 
1.000000 0.010000 0.000000 1.000000 1400.000000 60.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 381 60.000000 5811.724549 
1.000000 0.010000 0.000000 1.000000 1400.000000 60.000000 randomized_rounding_draws=1000_log=0_parallel=0 11940 60.000000 5785.318942 
1.000000 0.010000 0.000000 1.000000 1400.000000 65.000000 bogo_draws=0_seed=0 0 65.000000 5343.554542 
1.000000 0.010000 0.000000 1.000000 1400.000000 65.000000 naive_eca_inc_log=0_parallel=1 140 65.000000 5947.017268 
1.000000 0.010000 0.000000 1.000000 1400.000000 65.000000 naive_eca_dec_log=0_parallel=1 147 65.000000 5956.230871 
1.000000 0.010000 0.000000 1.000000 1400.000000 65.000000 glutton_eca_inc_log=0_parallel=1 6543 65.000000 5956.230871 
1.000000 0.010000 0.000000 1.000000 1400.000000 65.000000 glutton_eca_dec_log=0_parallel=1 4068 65.000000 5956.230871 
1.000000 0.010000 0.000000 1.000000 1400.000000 65.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 380 65.000000 5956.230871 
1.000000 0.010000 0.000000 1.000000 1400.000000 65.000000 randomized_rounding_draws=1000_log=0_parallel=0 11921 65.000000 5941.440073 
1.000000 0.010000 0.000000 1.000000 1400.000000 70.000000 bogo_draws=0_seed=0 0 70.000000 5521.055598 
1.000000 0.010000 0.000000 1.000000 1400.000000 70.000000 naive_eca_inc_log=0_parallel=1 141 70.000000 6077.279363 
1.000000 0.010000 0.000000 1.000000 1400.000000 70.000000 naive_eca_dec_log=0_parallel=1 141 70.000000 6091.916582 
1.000000 0.010000 0.000000 1.000000 1400.000000 70.000000 glutton_eca_inc_log=0_parallel=1 6851 70.000000 6092.232850 
1.000000 0.010000 0.000000 1.000000 1400.000000 70.000000 glutton_eca_dec_log=0_parallel=1 3561 70.000000 6092.232850 
1.000000 0.010000 0.000000 1.000000 1400.000000 70.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 389 70.000000 6092.232850 
1.000000 0.010000 0.000000 1.000000 1400.000000 70.000000 randomized_rounding_draws=1000_log=0_parallel=0 11942 70.000000 6081.630077 
1.000000 0.010000 0.000000 1.000000 1400.000000 75.000000 bogo_draws=0_seed=0 0 75.000000 5692.338734 
1.000000 0.010000 0.000000 1.000000 1400.000000 75.000000 naive_eca_inc_log=0_parallel=1 141 75.000000 6212.974782 
1.000000 0.010000 0.000000 1.000000 1400.000000 75.000000 naive_eca_dec_log=0_parallel=1 140 75.000000 6219.669992 
1.000000 0.010000 0.000000 1.000000 1400.000000 75.000000 glutton_eca_inc_log=0_parallel=1 7083 75.000000 6224.169463 
1.000000 0.010000 0.000000 1.000000 1400.000000 75.000000 glutton_eca_dec_log=0_parallel=1 3074 75.000000 6221.489224 
1.000000 0.010000 0.000000 1.000000 1400.000000 75.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 384 75.000000 6224.169463 
1.000000 0.010000 0.000000 1.000000 1400.000000 75.000000 randomized_rounding_draws=1000_log=0_parallel=0 11932 75.000000 6215.665697 
1.000000 0.010000 0.000000 1.000000 1400.000000 80.000000 bogo_draws=0_seed=0 0 80.000000 5873.393272 
