site_name site_coord_1 site_coord_2 site_node
Murcia 37.59324 -0.831005 4066
Banyuls 42.4823125 3.148525 6530
Marseille 43.2576666666667 5.31166666666666 6907
Villefranche 43.681825 7.32333333333333 7157
Calvi 42.58551 8.75975666666667 6794
Livorno 43.4649533333333 10.3409066666667 7044
Palinuro 40.02708 15.2693366666667 5426
Rovinj 45.07054 13.6173 7896
