id,name,category,x,y,weight
122,"friche","friche",890514.366965,6255840.15585,0.1
123,"friche","friche",899609.381177,6248587.594,0.1
124,"friche","friche",902906.795799,6245824.4518,0.1
125,"friche","friche",898953.905775,6250419.49028,0.1
126,"friche","friche",897464.032672,6248934.06859,0.1
127,"friche","friche",893738.786216,6248462.71416,0.1
128,"friche","friche",896488.448738,6248556.28103,0.1
129,"friche","friche",892584.506651,6252745.95311,0.1
130,"friche","friche",898797.998941,6249686.68796,0.1
131,"friche","friche",894752.315251,6249762.87518,0.1
132,"friche","friche",898623.235333,6252399.04491,0.1
133,"friche","friche",893063.581859,6243721.4099,0.1
134,"friche","friche",898135.828325,6253977.6403,0.1
135,"friche","friche",893879.117507,6247855.60544,0.1
136,"friche","friche",902162.415869,6248296.57927,0.1
137,"friche","friche",897023.281028,6251021.45205,0.1
138,"friche","friche",900263.76519,6246510.95303,0.1
139,"friche","friche",894787.053053,6242669.58301,0.1
140,"friche","friche",895881.163532,6251977.73514,0.1
141,"friche","friche",892376.018283,6245923.75397,0.1
142,"friche","friche",893964.093405,6253170.3156,0.1
143,"friche","friche",895746.500051,6243692.59377,0.1
144,"friche","friche",895396.951303,6247783.14894,0.1
145,"friche","friche",900442.879032,6253201.22073,0.1
146,"friche","friche",898313.753049,6247596.15307,0.1
147,"friche","friche",893875.666777,6244034.64704,0.1
148,"friche","friche",897509.64128,6245043.84357,0.1
149,"friche","friche",903115.702911,6248328.97885,0.1
150,"friche","friche",891803.344793,6255268.33381,0.1
151,"friche","friche",900202.67952,6246895.04222,0.1
152,"friche","friche",901672.342572,6254377.69973,0.1
153,"friche","friche",896987.295379,6241714.85792,0.1
154,"friche","friche",895934.359359,6240449.46492,0.1
155,"friche","friche",890241.307735,6254988.10397,0.1
156,"friche","friche",895205.215822,6252095.98615,0.1
157,"friche","friche",896514.889491,6247344.08335,0.1
158,"friche","friche",903531.682381,6249498.84018,0.1
159,"friche","friche",899112.537854,6254097.16212,0.1
160,"friche","friche",896036.879499,6247638.70472,0.1
161,"friche","friche",899751.349202,6251339.51053,0.1
162,"friche","friche",892508.696791,6256736.24468,0.1
163,"friche","friche",895535.454146,6250068.13999,0.1
164,"friche","friche",894419.292288,6249849.71782,0.1
165,"friche","friche",899985.262917,6253708.62782,0.1
166,"friche","friche",901330.681912,6250834.07188,0.1
167,"friche","friche",895169.664104,6241050.35203,0.1
168,"friche","friche",894087.563324,6251607.07973,0.1
169,"friche","friche",898223.822082,6248648.83261,0.1
170,"friche","friche",895177.033199,6248868.82205,0.1
171,"friche","friche",895931.118304,6251813.65826,0.1
172,"friche","friche",901234.205365,6254146.52657,0.1
173,"friche","friche",894782.843499,6252089.14897,0.1
174,"friche","friche",897718.964765,6244490.82072,0.1
175,"friche","friche",900721.455028,6251166.33193,0.1
176,"friche","friche",887059.244124,6255155.55228,0.1
177,"friche","friche",894441.025087,6242228.88902,0.1
178,"friche","friche",893867.421891,6253054.7371,0.1
179,"friche","friche",902257.26123,6250656.33642,0.1
180,"friche","friche",892023.344819,6255575.88015,0.1
181,"friche","friche",896307.021033,6248669.9111,0.1
182,"friche","friche",902837.737932,6248090.1137,0.1
183,"friche","friche",895099.751455,6249659.79782,0.1
184,"friche","friche",899129.286345,6246262.59896,0.1
185,"friche","friche",894828.017859,6249954.8828,0.1
186,"friche","friche",895560.285061,6241379.90475,0.1
187,"friche","friche",890047.608641,6252847.54671,0.1
188,"friche","friche",900350.047088,6254279.94072,0.1
189,"friche","friche",900843.260794,6251557.42305,0.1
190,"friche","friche",895066.111324,6243303.23322,0.1
191,"friche","friche",900034.961598,6248687.01343,0.1
192,"friche","friche",897190.206621,6247409.93327,0.1
193,"friche","friche",898082.380478,6249380.90068,0.1
194,"friche","friche",903355.107134,6247509.46362,0.1
195,"friche","friche",898097.061737,6250871.5367,0.1
196,"friche","friche",892056.163004,6256827.33084,0.1
197,"friche","friche",900254.429168,6253319.99652,0.1
198,"friche","friche",897260.422619,6242197.95314,0.1
199,"friche","friche",901421.447795,6252264.9502,0.1
200,"friche","friche",900128.402109,6254644.10907,0.1
201,"friche","friche",896492.654549,6251018.1351,0.1
202,"friche","friche",894133.038803,6241491.39131,0.1
203,"friche","friche",893035.114326,6249557.29153,0.1
204,"friche","friche",893705.618236,6243858.04115,0.1
205,"friche","friche",893586.584129,6242478.07319,0.1
206,"friche","friche",893218.820873,6241805.37518,0.1
207,"friche","friche",899641.67434,6251421.26582,0.1
208,"friche","friche",900980.176074,6253930.49898,0.1
209,"friche","friche",891579.405084,6252054.75816,0.1
210,"friche","friche",899649.790321,6250026.7822,0.1
211,"friche","friche",891245.365685,6253164.73518,0.1
212,"friche","friche",891887.766532,6256588.91571,0.1
213,"friche","friche",895853.614578,6240925.18176,0.1
214,"friche","friche",896776.787675,6252796.68132,0.1
215,"friche","friche",899020.475392,6250014.90026,0.1
216,"friche","friche",894474.039633,6248609.38254,0.1
217,"friche","friche",902428.638091,6247977.3042,0.1
218,"friche","friche",902518.048892,6247189.2277,0.1
219,"friche","friche",897160.493593,6241898.62139,0.1
220,"friche","friche",900595.880971,6252105.5921,0.1
221,"friche","friche",898464.141287,6247627.97813,0.1
222,"friche","friche",897817.95096,6248248.8266,0.1
223,"friche","friche",897487.618584,6250156.93615,0.1
224,"friche","friche",897966.38358,6245337.29807,0.1
225,"friche","friche",901481.840708,6254167.1972,0.1
226,"friche","friche",897503.912627,6253856.85129,0.1
227,"friche","friche",898113.96093,6244766.15874,0.1
228,"friche","friche",896616.963568,6253161.32713,0.1
229,"friche","friche",902150.669564,6253418.11287,0.1
230,"friche","friche",895781.148431,6248121.3315,0.1
231,"friche","friche",901432.911406,6253207.20961,0.1
232,"friche","friche",894636.759801,6242151.76473,0.1
233,"friche","friche",899871.458202,6248422.41227,0.1
234,"friche","friche",894359.964284,6241527.72099,0.1
235,"friche","friche",894884.441503,6241468.27986,0.1
236,"friche","friche",899624.101606,6253472.36614,0.1
237,"friche","friche",898267.752795,6245151.05374,0.1
238,"friche","friche",897444.026381,6247238.25472,0.1
239,"friche","friche",891392.169223,6255057.17977,0.1
240,"friche","friche",900952.382927,6253164.67752,0.1
241,"friche","friche",896040.148434,6240677.2646,0.1
242,"friche","friche",899730.790926,6245873.57039,0.1
243,"friche","friche",892251.645415,6239697.93907,0.1
244,"friche","friche",889424.069661,6254371.17475,0.1
245,"friche","friche",893572.659132,6250200.50873,0.1
246,"friche","friche",902997.415656,6247719.98871,0.1
247,"friche","friche",901423.151311,6254890.0166,0.1
248,"friche","friche",904076.249499,6247751.32736,0.1
249,"friche","friche",895263.710886,6247423.29352,0.1
250,"friche","friche",895433.288117,6242969.77908,0.1
251,"friche","friche",894924.647049,6240403.47692,0.1
252,"friche","friche",895291.023134,6251467.40962,0.1
253,"friche","friche",895577.145322,6243226.2086,0.1
254,"friche","friche",896897.70818,6248805.38248,0.1
255,"friche","friche",895682.633788,6248484.41123,0.1
256,"friche","friche",897221.67314,6254280.26006,0.1
257,"friche","friche",886765.168545,6254353.52627,0.1
258,"friche","friche",892716.678105,6253417.6171,0.1
259,"friche","friche",895639.086453,6240556.49779,0.1
260,"friche","friche",904784.632525,6247289.10266,0.1
261,"friche","friche",891471.659493,6245173.36914,0.1
262,"friche","friche",893263.949085,6243311.84843,0.1
263,"friche","friche",899886.605406,6246003.50226,0.1
264,"friche","friche",897976.839024,6252421.01629,0.1
265,"friche","friche",892093.006427,6240218.16748,0.1
266,"friche","friche",895112.653602,6243116.88045,0.1
267,"friche","friche",899949.772915,6247162.31051,0.1
268,"friche","friche",898500.908206,6246755.93667,0.1
269,"friche","friche",897697.789114,6249457.91242,0.1
270,"friche","friche",900728.796913,6246903.48624,0.1
271,"friche","friche",892567.183639,6244281.50705,0.1
272,"friche","friche",898140.709541,6250264.23724,0.1
273,"friche","friche",897710.078717,6246876.09145,0.1
274,"friche","friche",895958.03811,6253459.03148,0.1
275,"friche","friche",887511.078171,6254500.34568,0.1
276,"friche","friche",896386.30826,6245117.76789,0.1
277,"friche","friche",892470.312024,6252252.60598,0.1
278,"friche","friche",893593.29197,6243572.63746,0.1
279,"friche","friche",892811.65606,6248810.56307,0.1
280,"friche","friche",895252.857538,6251680.64438,0.1
281,"friche","friche",894749.143333,6243568.35235,0.1
282,"friche","friche",895751.660544,6241634.63609,0.1
283,"friche","friche",902260.667067,6251022.56252,0.1
284,"friche","friche",895189.305461,6244277.83252,0.1
285,"friche","friche",892701.571786,6245749.48666,0.1
286,"friche","friche",896631.654697,6247762.01487,0.1
287,"friche","friche",898248.00904,6245355.93834,0.1
288,"friche","friche",898979.482721,6252566.32854,0.1
289,"friche","friche",901670.602058,6251593.3862,0.1
290,"friche","friche",899142.455352,6252598.43644,0.1
291,"friche","friche",894740.540911,6251293.1602,0.1
292,"friche","friche",896158.046455,6242720.33417,0.1
293,"friche","friche",892287.543537,6253339.62849,0.1
294,"friche","friche",893519.592272,6242078.08889,0.1
295,"friche","friche",897167.314399,6247659.81679,0.1
296,"friche","friche",901905.729549,6254012.29421,0.1
297,"friche","friche",901526.725891,6253950.14028,0.1
298,"friche","friche",898393.159541,6250422.04214,0.1
299,"friche","friche",903659.993606,6246572.76154,0.1
300,"friche","friche",895621.72122,6242933.4915,0.1
301,"friche","friche",904293.848622,6247708.35142,0.1
302,"friche","friche",896107.38046,6243049.93431,0.1
303,"friche","friche",897370.195778,6253199.29971,0.1
304,"friche","friche",895735.967971,6253146.20845,0.1
305,"friche","friche",894164.494141,6251897.20884,0.1
306,"friche","friche",898817.97859,6253871.48482,0.1
307,"friche","friche",896081.200941,6239879.11545,0.1
308,"friche","friche",892148.278206,6254986.28546,0.1
309,"friche","friche",892153.329726,6239429.83153,0.1
310,"friche","friche",892879.036817,6241001.70052,0.1
311,"friche","friche",903633.12003,6247536.36646,0.1
312,"friche","friche",894181.144515,6249667.91561,0.1
313,"friche","friche",891311.730958,6255657.22868,0.1
314,"friche","friche",898643.487533,6246723.83499,0.1
315,"friche","friche",892012.242392,6254433.89547,0.1
316,"friche","friche",891444.005104,6239794.67398,0.1
317,"friche","friche",899975.375676,6252197.33064,0.1
318,"friche","friche",898887.450258,6247539.56807,0.1
319,"friche","friche",899054.472061,6251942.56693,0.1
320,"friche","friche",899538.688969,6248707.26737,0.1
321,"friche","friche",891097.197697,6255593.02606,0.1
322,"friche","friche",893999.171114,6241492.24689,0.1
323,"friche","friche",897767.227875,6247251.1242,0.1
324,"friche","friche",900283.029684,6246070.15712,0.1
325,"friche","friche",903384.930984,6244937.51262,0.1
326,"friche","friche",900303.159631,6252059.91917,0.1
327,"friche","friche",902419.752974,6247500.90119,0.1
328,"friche","friche",896397.641016,6244414.68352,0.1
329,"friche","friche",902716.293776,6247587.54133,0.1
330,"friche","friche",889404.70208,6254131.59915,0.1
331,"friche","friche",895615.48968,6247113.97996,0.1
332,"friche","friche",896114.462062,6247824.18296,0.1
333,"friche","friche",891164.461643,6253060.79981,0.1
334,"friche","friche",894611.870543,6249404.34203,0.1
335,"friche","friche",895937.532213,6242185.65111,0.1
336,"friche","friche",895827.924856,6253792.64382,0.1
337,"friche","friche",893041.651691,6244378.63268,0.1
338,"friche","friche",893782.445797,6252279.32806,0.1
339,"friche","friche",899681.859332,6247197.83988,0.1
340,"friche","friche",896159.26788,6243274.44427,0.1
341,"friche","friche",900626.336851,6253112.18396,0.1
342,"friche","friche",893382.760658,6241867.19785,0.1
343,"Jardin de Corinthe","parc",894175.9,6245679.6,1
344,"Jardin Perier","parc",892768.635,6244841.269,1
345,"Jardin Fraissinet","parc",894737.918,6246547.755,1
346,"Parc Val Plan","parc",897509.602,6251289.601,1
347,"Jardin Lacedemone","parc",892846.802,6245298.044,1
348,"Jardin de la Mathilde","parc",896109.736,6242897.686,1
349,"Jardin du Juge Michel","parc",892769.48,6246258.074,1
350,"Jardin de la Perrine","parc",897318.727,6247633.189,1
351,"Jardin des Reinettes","parc",892003.011,6240768.256,1
352,"Jardin du Carenage","parc",892100.6,6246438.6,1
353,"Jardin Bonniot","parc",898811.039,6249310.868,1
354,"Jardin de la Pauline","parc",895713.254,6244485.989,1
355,"Jardin Beau Sainte Elisabeth","parc",895560.563,6247489.034,1
356,"Jardin Batani","parc",895053.38,6241337.308,1
357,"Jardin des Vestiges","parc",892732.892,6247074.075,1
358,"Jardin Emmanuel Vitria","parc",890079.414,6253450.521,1
359,"Jardin des Trois Lucs","parc",899936.488,6248962.317,1
360,"Jardin Labadie","parc",893477.193,6247457.289,1
361,"Jardin Bernabo","parc",890974.361,6251308.49,1
362,"Jardin de la Capelette","parc",895664.219,6245175.359,1
363,"Jardin Felicien David","parc",895878.92,6247215.69,1
364,"Jardin de la Magalone","parc",894769.226,6243117.443,1
365,"Jardin Vallier","parc",894855.983,6247409.194,1
366,"Jardin Velten","parc",894486.781,6248894.943,1
367,"Jardin des fonderies de Provence","parc",895165.897,6245720.823,1
368,"ND de la Garde Cheminement pieton","parc",892512.4,6245621.7,1
369,"Jardin de la Pugette","parc",895042.932,6243817.841,1
370,"Promenade de l huveaune","parc",893897.244,6243347.565,1
371,"Jardin esplanade des Goumiers","parc",893292.114,6241409.167,1
372,"Parc du Vieux Moulin","parc",897281.479,6245629.767,1
373,"Parc Varella","parc",891798.608,6253877.724,1
374,"Parc Chanot","parc",894261.789,6244198.102,1
375,"Jardin Emile Duclaux","parc",891481.2,6246616,5
376,"Parc Borely","parc",893485.198551,6243047.43433,5
377,"Parc de la Mirabelle","parc",898620.7,6247103.47,1
378,"Parc Longchamp","parc",894529.7,6248105.3,5
379,"Parc de la Ravelle","parc",898218.726,6251175.439,1
380,"Parc Valmer","parc",891317.576542,6245116.95004,1
381,"Parc du Ginestet","parc",896036.539,6250234.585,1
382,"Parc de la Minerve","parc",887809.781,6254170.987,1
383,"Parc de Font Obscure","parc",894713.221,6250499.28,5
384,"Parc Francois Billoux","parc",891936.918487,6251109.49639,5
385,"Parc du Grand Seminaire","parc",892958.915,6252347.393,1
386,"Parc Central de Bonneveine","parc",894207.494,6241782.413,1
387,"Parc de la Maison Blanche","parc",896260.606404,6243816.92573,5
388,"Parc Bregante","parc",891066.186,6253279.483,1
389,"Parc Saint Cyr","parc",898113.833,6245597.724,1
390,"Parc de Bagatelle","parc",893389.241,6243986.462,1
391,"Parc de L Esperance","parc",893016.4,6250461.1,5
392,"Parc de l Oasis","parc",892291.405,6253068.862,1
393,"Parc du 26eme,centenaire","parc",894567.256102,6245376.22486,5
394,"Parc de la Colline Saint Joseph","parc",896612.597,6241831.259,5
395,"Parc Balneaire du Prado","parc",892809.9,6243348,5
396,"Parc de la Moline","parc",896593.139,6249091.066,5
397,"Parc Athena","parc",898380.302951,6252031.2609,5
