OBJECTID_1,Nom_du_sit,category,x,y,area,price,dist_center,price_rel,prob_destr,area2
152,"friche","friche",901672.342572,6254377.69973,0.1,2175,12822.359375,1.36792452830189,0.156850414435838,0.195462809449628
153,"friche","friche",896987.295379,6241714.85792,0.1,2791,7374.44921875,1.75534591194969,0.472596686740577,1.81438313832384
154,"friche","friche",895934.359359,6240449.46492,0.1,2791,7627.14208984,1.75534591194969,0.457951285146882,0.493267274744031
155,"friche","friche",890241.307735,6254988.10397,0.1,1679,8459.89355469,1.0559748427673,0.40968724201081,1.48376264895684
156,"friche","friche",895205.215822,6252095.98615,0.1,1590,6648.50341797,1,0.514670559825397,0.607034602013118
157,"friche","friche",896514.889491,6247344.08335,0.1,2939,5091.16894531,1.84842767295597,0.604929492218022,1.79950005604577
158,"friche","friche",903531.682381,6249498.84018,0.1,2473,12399.1132813,1.55534591194969,0.181380623730865,1.22159599022954
159,"friche","friche",899112.537854,6254097.16212,0.1,2175,10692.2119141,1.36792452830189,0.280308052493061,0.139542114193489
160,"friche","friche",896036.879499,6247638.70472,0.1,2939,4672.68652344,1.84842767295597,0.629183611860381,1.77757145844337
161,"friche","friche",899751.349202,6251339.51053,0.1,2175,9525.88574219,1.36792452830189,0.347905191673037,0.733519368626522
162,"friche","friche",892508.696791,6256736.24468,0.1,1679,10164.3789063,1.0559748427673,0.31089983903731,1.88445404221215
163,"friche","friche",895535.454146,6250068.13999,0.1,2175,5343.1171875,1.36792452830189,0.590327247319772,0.572531712876917
164,"friche","friche",894419.292288,6249849.71782,0.1,1590,4375.06591797,1,0.646432904532806,0.749450491473922
165,"friche","friche",899985.262917,6253708.62782,0.1,2175,11077.7617188,1.36792452830189,0.257962619082749,1.39101204088058
166,"friche","friche",901330.681912,6250834.07188,0.1,2175,10738.2402344,1.36792452830189,0.277640374403968,0.192084903434887
167,"friche","friche",895169.664104,6241050.35203,0.1,2791,6689.73095703,1.75534591194969,0.512281122150923,0.252367684816938
168,"friche","friche",894087.563324,6251607.07973,0.1,1590,5622.49951172,1,0.574134996550163,0.53014849796456
169,"friche","friche",898223.822082,6248648.83261,0.1,2939,7051.53173828,1.84842767295597,0.491312118492598,1.33436405732895
170,"friche","friche",895177.033199,6248868.82205,0.1,2377,4347.51660156,1.49496855345912,0.648029589080003,1.17815937795976
171,"friche","friche",895931.118304,6251813.65826,0.1,2175,6849.59863281,1.36792452830189,0.503015620106685,0.237736320207191
172,"friche","friche",901234.205365,6254146.52657,0.1,2175,12319.2285156,1.36792452830189,0.186010530660365,0.932082754558879
173,"friche","friche",894782.843499,6252089.14897,0.1,1590,6379.78076172,1,0.530245004807282,0.849400843212882
174,"friche","friche",897718.964765,6244490.82072,0.1,2096,6593.51953125,1.31823899371069,0.517857278543353,1.15734682528091
175,"friche","friche",900721.455028,6251166.33193,0.1,2175,10303.9414063,1.36792452830189,0.302811170563588,1.26512329107472
176,"friche","friche",887059.244124,6255155.55228,0.1,1679,9620.32226563,1.0559748427673,0.342431903863511,0.495645234286049
177,"friche","friche",894441.025087,6242228.88902,0.1,4121,5292.00341797,2.59182389937107,0.593289664417276,1.82275765172728
178,"friche","friche",893867.421891,6253054.7371,0.1,1590,6882.04199219,1,0.50113528994494,1.05008199023654
179,"friche","friche",902257.26123,6250656.33642,0.1,2175,11534.4052734,1.36792452830189,0.23149678245886,0.300115795632226
180,"friche","friche",892023.344819,6255575.88015,0.1,1679,8986.23925781,1.0559748427673,0.37918165565985,0.648163801803221
181,"friche","friche",896307.021033,6248669.9111,0.1,2939,5243.13818359,1.84842767295597,0.596121762443541,1.85139832058635
182,"friche","friche",902837.737932,6248090.1137,0.1,2473,11464.6328125,1.55534591194969,0.23554060730304,0.975712799792664
183,"friche","friche",895099.751455,6249659.79782,0.1,2175,4728.40332031,1.36792452830189,0.625954415634324,1.19675427740835
184,"friche","friche",899129.286345,6246262.59896,0.1,2473,7658.46582031,1.55534591194969,0.456135845676165,0.182249843978003
185,"friche","friche",894828.017859,6249954.8828,0.1,2175,4730.59179688,1.36792452830189,0.625827577397424,3.12334512028169
186,"friche","friche",895560.285061,6241379.90475,0.1,2791,6648.97753906,1.75534591194969,0.514643081037661,0.441054200585978
187,"friche","friche",890047.608641,6252847.54671,0.1,1679,6397.31982422,1.0559748427673,0.529228487749316,0.528719526817942
188,"friche","friche",900350.047088,6254279.94072,0.1,2175,11720.7890625,1.36792452830189,0.220694477549547,0.475233675741665
189,"friche","friche",900843.260794,6251557.42305,0.1,2175,10588.2998047,1.36792452830189,0.286330519870341,0.760443690540837
190,"friche","friche",895066.111324,6243303.23322,0.1,2791,4883.64599609,1.75534591194969,0.616956966195126,0.633567914865155
191,"friche","friche",900034.961598,6248687.01343,0.1,2939,8797.01074219,1.84842767295597,0.39014883329442,0.140898996184979
192,"friche","friche",897190.206621,6247409.93327,0.1,2939,5782.84521484,1.84842767295597,0.564841789322408,1.79216945019935
193,"friche","friche",898082.380478,6249380.90068,0.1,2939,7153.85205078,1.84842767295597,0.48538190739764,0.350950806312266
194,"friche","friche",903355.107134,6247509.46362,0.1,2473,11914.0419922,1.55534591194969,0.209494055660294,0.10907165362339
195,"friche","friche",898097.061737,6250871.5367,0.1,2175,7880.640625,1.36792452830189,0.443259189422863,0.568251764751064
196,"friche","friche",892056.163004,6256827.33084,0.1,1679,10217.6318359,1.0559748427673,0.307813441955079,1.19284421547062
197,"friche","friche",900254.429168,6253319.99652,0.1,2175,11046.2753906,1.36792452830189,0.259787482282137,0.909739038563239
198,"friche","friche",897260.422619,6242197.95314,0.1,2791,7278.20019531,1.75534591194969,0.47817502219262,0.474923905571512
199,"friche","friche",901421.447795,6252264.9502,0.1,2175,11446.0126953,1.36792452830189,0.236619779394201,0.358349251109909
200,"friche","friche",900128.402109,6254644.10907,0.1,2175,11824.1494141,1.36792452830189,0.214703988575648,0.450340973565666
201,"friche","friche",896492.654549,6251018.1351,0.1,2175,6674.44384766,1.36792452830189,0.513167122040689,0.744009411698224
202,"friche","friche",894133.038803,6241491.39131,0.1,4121,5783.234375,2.59182389937107,0.56481923464248,0.463427138107553
203,"friche","friche",893035.114326,6249557.29153,0.1,1590,3328.24267578,1,0.707103974173016,0.904876277189213
204,"friche","friche",893705.618236,6243858.04115,0.1,4121,3560.9128418,2.59182389937107,0.693619034904505,0.532388141352442
205,"friche","friche",893586.584129,6242478.07319,0.1,4121,4655.80273438,2.59182389937107,0.630162151025892,1.16501212874129
206,"friche","friche",893218.820873,6241805.37518,0.1,4121,5105.64404297,2.59182389937107,0.604090554350783,0.309942377262645
207,"friche","friche",899641.67434,6251421.26582,0.1,2175,9467.08007813,1.36792452830189,0.35131341036329,0.766210119432359
208,"friche","friche",900980.176074,6253930.49898,0.1,2175,12000.9375,1.36792452830189,0.204457824907406,0.347288953698924
209,"friche","friche",891579.405084,6252054.75816,0.1,1679,5431.32568359,1.0559748427673,0.585214919284393,1.02703401115326
210,"friche","friche",899649.790321,6250026.7822,0.1,2175,8875.38769531,1.36792452830189,0.385606315141133,0.328994212079465
211,"friche","friche",891245.365685,6253164.73518,0.1,1679,6543.37060547,1.0559748427673,0.52076377588288,2.3409351308185
212,"friche","friche",891887.766532,6256588.91571,0.1,1679,9968.8515625,1.0559748427673,0.322232079872389,0.916958732550466
213,"friche","friche",895853.614578,6240925.18176,0.1,2791,7188.49072266,1.75534591194969,0.483374342806813,0.540757110290918
214,"friche","friche",896776.787675,6252796.68132,0.1,2175,8147.9140625,1.36792452830189,0.427768737275835,0.812738406632657
215,"friche","friche",899020.475392,6250014.90026,0.1,2175,8285.27050781,1.36792452830189,0.419807925819738,0.536851577751465
216,"friche","friche",894474.039633,6248609.38254,0.1,2377,3594.49584961,1.49496855345912,0.691672653774004,0.204099002468648
217,"friche","friche",902428.638091,6247977.3042,0.1,2473,11032.9052734,1.55534591194969,0.260562378443252,2.48506221216553
218,"friche","friche",902518.048892,6247189.2277,0.1,2473,11054.7050781,1.55534591194969,0.259298920186126,0.964383767238533
219,"friche","friche",897160.493593,6241898.62139,0.1,2791,7394.19384766,1.75534591194969,0.471452340964386,0.800430123935895
220,"friche","friche",900595.880971,6252105.5921,0.1,2175,10644.9287109,1.36792452830189,0.283048460231962,1.36480519414994
221,"friche","friche",898464.141287,6247627.97813,0.1,2939,7064.02880859,1.84842767295597,0.49058782178947,0.288442453433034
222,"friche","friche",897817.95096,6248248.8266,0.1,2939,6563.07861328,1.84842767295597,0.519621552567501,0.79442120861135
223,"friche","friche",897487.618584,6250156.93615,0.1,2175,6992.31738281,1.36792452830189,0.494744023841686,0.498851145932145
224,"friche","friche",897966.38358,6245337.29807,0.1,2096,6636.58056641,1.31823899371069,0.515361576348677,0.232020440504726
225,"friche","friche",901481.840708,6254167.1972,0.1,2175,12552.0517578,1.36792452830189,0.172516719506703,0.678857467161035
226,"friche","friche",897503.912627,6253856.85129,0.1,2175,9414.55273438,1.36792452830189,0.354357754434219,0.853460562223217
227,"friche","friche",898113.96093,6244766.15874,0.1,2096,6885.96386719,1.31823899371069,0.50090798858053,0.264847770141437
228,"friche","friche",896616.963568,6253161.32713,0.1,2175,8330.49804688,1.36792452830189,0.417186658864649,0.696336818656849
229,"friche","friche",902150.669564,6253418.11287,0.1,2175,12666.4316406,1.36792452830189,0.165887568036699,1.50454326117911
230,"friche","friche",895781.148431,6248121.3315,0.1,2939,4573.0078125,1.84842767295597,0.634960722808391,1.70865092784615
231,"friche","friche",901432.911406,6253207.20961,0.1,2175,11948.2890625,1.36792452830189,0.207509187247555,0.475213318784141
232,"friche","friche",894636.759801,6242151.76473,0.1,2791,5485.73583984,1.75534591194969,0.582061452446885,0.478120397078546
233,"friche","friche",899871.458202,6248422.41227,0.1,2939,8590.69238281,1.84842767295597,0.402106492472688,0.568493361423182
234,"friche","friche",894359.964284,6241527.72099,0.1,4121,5856.99560547,2.59182389937107,0.560544231403891,0.716208270700541
235,"friche","friche",894884.441503,6241468.27986,0.1,2791,6190.4765625,1.75534591194969,0.541216568860477,1.53342716843803
236,"friche","friche",899624.101606,6253472.36614,0.1,2175,10666.8876953,1.36792452830189,0.281775776346024,0.741459955118667
237,"friche","friche",898267.752795,6245151.05374,0.1,2096,6966.85009766,1.31823899371069,0.496220039436878,1.48105124578812
238,"friche","friche",897444.026381,6247238.25472,0.1,2939,6003.14941406,1.84842767295597,0.552073548348942,0.356442120033092
239,"friche","friche",891392.169223,6255057.17977,0.1,1679,8430.48046875,1.0559748427673,0.411391945645079,1.46823946813188
