troncon_id,delta_ECA,ratio_delta_cost
3133,0.016877,0.000804
3136,0.444176,0.018507
3138,0.099938,0.005260
3139,0.071887,0.002567
3140,0.146560,0.006107
3141,0.110640,0.003457
3142,0.382213,0.011241
3145,4.614680,0.074430
3146,0.019189,0.000914
3150,1.017630,0.078279
3151,0.535412,0.011639
3152,0.072187,0.005553
3154,2.075240,0.103762
3155,20.112700,0.744914
3157,0.381515,0.027251
3159,0.066735,0.004171
3160,0.404924,0.020246
3161,0.357387,0.025528
3162,0.014221,0.001185
3165,1.788770,0.052611
3166,0.012755,0.000255
3169,0.610826,0.024433
3171,2.695740,0.107829
3172,0.130772,0.009341
3173,16.717000,0.619150
3174,1.124410,0.059179
3176,0.323059,0.026922
3177,26.262300,1.641390
3178,0.109559,0.004763
3181,0.398153,0.026544
3234,0.028407,0.001353
3241,1.116680,0.042949
3246,0.036330,0.001580
3247,3.071280,0.153564
3248,10.421900,0.496281
3249,0.586155,0.032564
3253,0.018579,0.001161
3254,0.156298,0.005582
3258,0.044625,0.003433
3264,0.043928,0.001464
3266,0.037348,0.002334
3267,0.183095,0.012206
3268,0.037529,0.003412
3269,0.041800,0.002322
3270,0.132119,0.004719
3273,0.063762,0.004554
3274,0.028320,0.002360
3276,0.036889,0.003074
3277,0.017709,0.000537
3278,0.185982,0.016907
3279,0.231326,0.019277
3280,0.020736,0.001220
3281,0.016873,0.001298
3286,0.907991,0.069845
3289,0.098880,0.002472
3291,0.083398,0.001986
3296,0.611410,0.033967
3297,0.539098,0.023439
3302,0.152547,0.006102
3303,0.041184,0.002288
3304,0.042930,0.002259
3305,0.017934,0.001993
3309,0.144816,0.011140
3315,2.936320,0.172725
3327,0.029408,0.000717
3332,0.020597,0.001872
3333,0.026247,0.000847
3335,0.031522,0.001017
3344,0.229953,0.019163
3370,0.059345,0.003491
3373,0.031529,0.002627
3374,0.125201,0.011382
3375,0.224409,0.020401
3376,0.103926,0.005470
3377,0.081384,0.005087
3379,0.157761,0.012136
3380,1.881470,0.156789
3382,0.037938,0.002918
3383,0.066347,0.003016
3384,0.011896,0.000313
3385,0.029417,0.000981
