from,to,from_x,from_y,to_x,to_y
177,187,893031.9905,6248778.506,894884.4415,6241468.28
177,185,893031.9905,6248778.506,899255.6088,6249530.409
177,184,893031.9905,6248778.506,896259.7889,6247501.291
177,183,893031.9905,6248778.506,893999.1711,6241492.247
177,182,893031.9905,6248778.506,898140.7095,6250264.237
177,181,893031.9905,6248778.506,896109.477,6249277.96
177,180,893031.9905,6248778.506,894782.8435,6252089.149
177,179,893031.9905,6248778.506,893572.6591,6250200.509
177,178,893031.9905,6248778.506,887648.8491,6254456.912
176,194,895189.3055,6244277.833,899962.6971,6251047.65
176,193,895189.3055,6244277.833,898360.8419,6249231.89
176,191,895189.3055,6244277.833,902518.0489,6247189.228
176,188,895189.3055,6244277.833,899652.3352,6251059.146
176,187,895189.3055,6244277.833,894884.4415,6241468.28
176,185,895189.3055,6244277.833,899255.6088,6249530.409
176,184,895189.3055,6244277.833,896259.7889,6247501.291
176,183,895189.3055,6244277.833,893999.1711,6241492.247
176,182,895189.3055,6244277.833,898140.7095,6250264.237
176,181,895189.3055,6244277.833,896109.477,6249277.96
176,180,895189.3055,6244277.833,894782.8435,6252089.149
176,179,895189.3055,6244277.833,893572.6591,6250200.509
176,177,895189.3055,6244277.833,893031.9905,6248778.506
175,195,894474.0396,6248609.383,900626.3369,6253112.184
175,194,894474.0396,6248609.383,899962.6971,6251047.65
175,193,894474.0396,6248609.383,898360.8419,6249231.89
175,192,894474.0396,6248609.383,891245.3657,6253164.735
175,191,894474.0396,6248609.383,902518.0489,6247189.228
175,190,894474.0396,6248609.383,903115.7029,6248328.979
175,189,894474.0396,6248609.383,899142.4554,6252598.436
175,188,894474.0396,6248609.383,899652.3352,6251059.146
175,187,894474.0396,6248609.383,894884.4415,6241468.28
175,185,894474.0396,6248609.383,899255.6088,6249530.409
175,184,894474.0396,6248609.383,896259.7889,6247501.291
175,183,894474.0396,6248609.383,893999.1711,6241492.247
175,182,894474.0396,6248609.383,898140.7095,6250264.237
175,181,894474.0396,6248609.383,896109.477,6249277.96
175,180,894474.0396,6248609.383,894782.8435,6252089.149
175,179,894474.0396,6248609.383,893572.6591,6250200.509
175,177,894474.0396,6248609.383,893031.9905,6248778.506
175,176,894474.0396,6248609.383,895189.3055,6244277.833
174,193,895066.1113,6243303.233,898360.8419,6249231.89
174,191,895066.1113,6243303.233,902518.0489,6247189.228
174,187,895066.1113,6243303.233,894884.4415,6241468.28
174,185,895066.1113,6243303.233,899255.6088,6249530.409
174,184,895066.1113,6243303.233,896259.7889,6247501.291
174,183,895066.1113,6243303.233,893999.1711,6241492.247
174,182,895066.1113,6243303.233,898140.7095,6250264.237
174,181,895066.1113,6243303.233,896109.477,6249277.96
174,179,895066.1113,6243303.233,893572.6591,6250200.509
174,177,895066.1113,6243303.233,893031.9905,6248778.506
174,176,895066.1113,6243303.233,895189.3055,6244277.833
174,175,895066.1113,6243303.233,894474.0396,6248609.383
173,195,897817.951,6248248.827,900626.3369,6253112.184
173,194,897817.951,6248248.827,899962.6971,6251047.65
173,193,897817.951,6248248.827,898360.8419,6249231.89
173,192,897817.951,6248248.827,891245.3657,6253164.735
173,191,897817.951,6248248.827,902518.0489,6247189.228
173,190,897817.951,6248248.827,903115.7029,6248328.979
173,189,897817.951,6248248.827,899142.4554,6252598.436
173,188,897817.951,6248248.827,899652.3352,6251059.146
173,187,897817.951,6248248.827,894884.4415,6241468.28
173,186,897817.951,6248248.827,901234.2054,6254146.527
173,185,897817.951,6248248.827,899255.6088,6249530.409
173,184,897817.951,6248248.827,896259.7889,6247501.291
173,183,897817.951,6248248.827,893999.1711,6241492.247
173,182,897817.951,6248248.827,898140.7095,6250264.237
173,181,897817.951,6248248.827,896109.477,6249277.96
173,180,897817.951,6248248.827,894782.8435,6252089.149
173,179,897817.951,6248248.827,893572.6591,6250200.509
173,177,897817.951,6248248.827,893031.9905,6248778.506
173,176,897817.951,6248248.827,895189.3055,6244277.833
173,175,897817.951,6248248.827,894474.0396,6248609.383
