id,type,area,x,y
171,friche,5,895931.1183,6251813.658
172,friche,5,902428.6381,6247977.304
173,friche,5,897817.951,6248248.827
174,friche,5,895066.1113,6243303.233
175,friche,5,894474.0396,6248609.383
176,friche,5,895189.3055,6244277.833
177,friche,5,893031.9905,6248778.506
178,friche,5,887648.8491,6254456.912
179,friche,5,893572.6591,6250200.509
180,friche,5,894782.8435,6252089.149
181,friche,5,896109.477,6249277.96
182,friche,5,898140.7095,6250264.237
183,friche,5,893999.1711,6241492.247
184,friche,5,896259.7889,6247501.291
185,friche,5,899255.6088,6249530.409
186,friche,5,901234.2054,6254146.527
187,friche,5,894884.4415,6241468.28
188,friche,5,899652.3352,6251059.146
189,friche,5,899142.4554,6252598.436
190,friche,5,903115.7029,6248328.979
191,friche,5,902518.0489,6247189.228
192,friche,5,891245.3657,6253164.735
193,friche,5,898360.8419,6249231.89
194,friche,5,899962.6971,6251047.65
195,friche,5,900626.3369,6253112.184
196,friche,5,886765.1685,6254353.526
