budget solver time cost total_eca 
11.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 11 11.000000 37.001400 
11.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 11.000000 37.001400 
12.000000 bogo_seed=99 0.000000 12.000000 12.681156 
12.000000 naive_eca_inc_log=0_parallel=1 0 12.000000 13.006001 
12.000000 naive_eca_dec_log=0_parallel=1 0 12.000000 9.004001 
12.000000 glutton_eca_inc_log=0_parallel=1 0 12.000000 13.006001 
12.000000 glutton_eca_dec_log=0_parallel=1 0 12.000000 13.006001 
12.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 17 12.000000 37.002600 
12.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 12.000000 37.001400 
13.000000 bogo_seed=99 0.000000 13.000000 13.981462 
13.000000 naive_eca_inc_log=0_parallel=1 0 13.000000 13.006001 
13.000000 naive_eca_dec_log=0_parallel=1 0 13.000000 13.006001 
13.000000 glutton_eca_inc_log=0_parallel=1 0 13.000000 13.006001 
13.000000 glutton_eca_dec_log=0_parallel=1 0 13.000000 13.006001 
13.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 17 13.000000 37.003800 
13.000000 randomized_rounding_draws=1000_log=0_parallel=1 4 13.000000 37.002600 
14.000000 bogo_seed=99 0.000000 14.000000 15.381726 
14.000000 naive_eca_inc_log=0_parallel=1 0 14.000000 19.008001 
14.000000 naive_eca_dec_log=0_parallel=1 0 14.000000 13.006001 
14.000000 glutton_eca_inc_log=0_parallel=1 0 14.000000 19.008001 
14.000000 glutton_eca_dec_log=0_parallel=1 0 14.000000 19.008001 
14.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 21 14.000000 37.005000 
14.000000 randomized_rounding_draws=1000_log=0_parallel=1 6 14.000000 37.001400 
15.000000 bogo_seed=99 0.000000 15.000000 17.482228 
15.000000 naive_eca_inc_log=0_parallel=1 0 15.000000 19.008001 
15.000000 naive_eca_dec_log=0_parallel=1 0 15.000000 19.008001 
15.000000 glutton_eca_inc_log=0_parallel=1 0 15.000000 19.008001 
15.000000 glutton_eca_dec_log=0_parallel=1 0 15.000000 19.008001 
15.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 20 15.000000 37.006200 
15.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 15.000000 37.004000 
16.000000 bogo_seed=99 0.000000 16.000000 20.463127 
16.000000 naive_eca_inc_log=0_parallel=1 0 16.000000 27.010001 
16.000000 naive_eca_dec_log=0_parallel=1 0 16.000000 19.008001 
16.000000 glutton_eca_inc_log=0_parallel=1 6 16.000000 27.010001 
16.000000 glutton_eca_dec_log=0_parallel=1 0 16.000000 27.010001 
16.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 22 16.000000 37.007400 
16.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 16.000000 37.005200 
17.000000 bogo_seed=99 0.000000 17.000000 24.424747 
17.000000 naive_eca_inc_log=0_parallel=1 0 17.000000 27.010001 
17.000000 naive_eca_dec_log=0_parallel=1 0 17.000000 27.010001 
17.000000 glutton_eca_inc_log=0_parallel=1 0 17.000000 27.010001 
17.000000 glutton_eca_dec_log=0_parallel=1 0 17.000000 27.010001 
17.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 29 17.000000 37.008601 
17.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 17.000000 37.006400 
18.000000 bogo_seed=99 0.000000 18.000000 29.406271 
18.000000 naive_eca_inc_log=0_parallel=1 0 18.000000 37.012001 
18.000000 naive_eca_dec_log=0_parallel=1 0 18.000000 27.010001 
18.000000 glutton_eca_inc_log=0_parallel=1 0 18.000000 37.012001 
18.000000 glutton_eca_dec_log=0_parallel=1 0 18.000000 37.012001 
18.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 19 18.000000 37.012001 
18.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 18.000000 37.012001 
19.000000 bogo_seed=99 0.000000 19.000000 37.009281 
19.000000 naive_eca_inc_log=0_parallel=1 0 19.000000 37.012001 
19.000000 naive_eca_dec_log=0_parallel=1 0 19.000000 37.012001 
19.000000 glutton_eca_inc_log=0_parallel=1 0 19.000000 37.012001 
19.000000 glutton_eca_dec_log=0_parallel=1 0 19.000000 37.012001 
19.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 14 19.000000 37.012001 
19.000000 randomized_rounding_draws=1000_log=0_parallel=1 5 19.000000 37.012001 
20.000000 bogo_seed=99 0.000000 20.000000 49.014001 
20.000000 naive_eca_inc_log=0_parallel=1 0 20.000000 49.014001 
20.000000 naive_eca_dec_log=0_parallel=1 0 20.000000 49.014001 
20.000000 glutton_eca_inc_log=0_parallel=1 0 20.000000 49.014001 
20.000000 glutton_eca_dec_log=0_parallel=1 0 20.000000 49.014001 
20.000000 pl_eca_3_fortest=0_log=1_relaxed=0_timeout=3600 1 20.000000 49.014001 
20.000000 randomized_rounding_draws=1000_log=0_parallel=1 3 20.000000 49.014001 
