200 5 24195 31034 48423 1415 182 1943
200 6 48031 50635 77720 2720 850 1564
200 7 64478 64752 194932 3970 2739 1963
200 8 128516 49866 150645 4111 3149 4457
200 9 125896 113627 454123 10589 2615 7336
200 10 241107 127553 466135 8935 8120 9222
200 11 436003 401741 354273 12098 3561 19089
200 12 396021 164847 468750 9879 7630 13830
200 13 473686 432719 541932 36238 3936 15542
200 14 477826 416321 499520 22759 9765 18331
200 15 556334 424871 482826 35881 13439 27857
200 16 421635 416261 487951 47316 16489 33489
200 17 412038 435095 407155 38298 15326 60053
200 18 447688 433048 459516 70659 18596 135053
200 19 483153 432719 391570 101687 22000 124193
200 20 430804 413816 2221956 72469 85541 68214
