center percent_arcs nb_vars nb_constraints nb_entries nb_vars_contract nb_constraints_contract nb_entries_contract 
3965 80 1737036 1018001 5008036 893488 640795 2620494
3965 85 1785132 1066001 5200132 951526 682332 2806124
3965 90 1833228 1114001 5392228 1000460 716559 2964142
3965 95 1881324 1162001 5584324 1060841 764710 3161942
3965 100 1929420 1210001 5776420 1110891 802294 3324278
7962 0 1075500 250000 2150500 500 500 500
7962 5 1129107 303501 2364607 72723 53887 189661
7962 10 1182714 357001 2578714 130327 94593 342680
7962 15 1236321 410501 2792821 186571 132732 494093
7962 20 1289928 464001 3006928 243467 174880 648730
7962 25 1343535 517501 3221035 293578 212895 792195
7962 30 1397142 571001 3435142 343242 248946 938092
7962 35 1450749 624501 3649249 395330 289537 1091581
7962 40 1504356 678001 3863356 456028 330743 1270562
7962 45 1557963 731501 4077463 512878 373624 1443411
7962 50 1611570 785001 4291570 573180 416198 1622366
7962 55 1665177 838501 4505677 634697 461115 1808981
7962 60 1718784 892001 4719784 676208 491700 1941862
7962 65 1772391 945501 4933891 732771 532998 2117879
7962 70 1825998 999001 5147998 786067 570411 2283360
7962 75 1879605 1052501 5362105 832369 603223 2430157
7962 80 1933212 1106001 5576212 886382 644554 2601430
7962 85 1986819 1159501 5790319 945625 685231 2788159
7962 90 2040426 1213001 6004426 1000467 723506 2966064
7962 95 2094033 1266501 6218533 1079267 776856 3216775
7962 100 2147640 1320001 6432640 1132630 812906 3390342
3882 0 966500 250000 1932500 500 500 500
3882 5 1014596 298001 2124596 58420 42414 148840
3882 10 1062692 346001 2316692 106998 78815 278022
3882 15 1110788 394001 2508788 162816 123702 433208
3882 20 1158884 442001 2700884 225269 169822 604722
3882 25 1206980 490001 2892980 277987 207153 753262
3882 30 1255076 538001 3085076 338080 248959 925190
3882 35 1303172 586001 3277172 383706 282307 1059906
3882 40 1351268 634001 3469268 438341 318695 1219726
3882 45 1399364 682001 3661364 498995 364022 1401374
3882 50 1447460 730001 3853460 548227 398077 1548804
3882 55 1495556 778001 4045556 605604 440719 1726280
3882 60 1543652 826001 4237652 666922 481924 1914010
3882 65 1591748 874001 4429748 725344 525975 2095596
3882 70 1639844 922001 4621844 790533 571948 2294992
3882 75 1687940 970001 4813940 843372 609403 2458616
3882 80 1736036 1018001 5006036 898554 649884 2639198
3882 85 1784132 1066001 5198132 950885 685811 2805048
3882 90 1832228 1114001 5390228 1002992 723852 2973382
3882 95 1880324 1162001 5582324 1048929 758422 3123738
3882 100 1928420 1210001 5774420 1106565 799303 3312248
8183 0 1124500 250000 2248500 500 500 500
8183 5 1180612 306001 2472612 76468 55125 194912
8183 10 1236724 362001 2696724 142072 101950 368076
8183 15 1292836 418001 2920836 219108 156310 574944
8183 20 1348948 474001 3144948 284411 198753 751876
8183 25 1405060 530001 3369060 355149 245087 948840
8183 30 1461172 586001 3593172 431088 295117 1163510
8183 35 1517284 642001 3817284 507920 345943 1383804
8183 40 1573396 698001 4041396 583431 395825 1604368
8183 45 1629508 754001 4265508 645047 438378 1789826
8183 50 1685620 810001 4489620 725821 494171 2032978
8183 55 1741732 866001 4713732 796126 540967 2248860
8183 60 1797844 922001 4937844 860173 584566 2448868
8183 65 1853956 978001 5161956 933341 631430 2676310
8183 70 1910068 1034001 5386068 1001591 676903 2892718
8183 75 1966180 1090001 5610180 1079125 725999 3138954
8183 80 2022292 1146001 5834292 1150872 773573 3370132
8183 85 2078404 1202001 6058404 1217595 818583 3586270
8183 90 2134516 1258001 6282516 1294422 869103 3835476
8183 95 2190628 1314001 6506628 1369027 918740 4080084
8183 100 2246740 1370001 6730740 1444157 969880 4325342
7696 0 1057500 250000 2114500 500 500 500
7696 5 1110105 302501 2324605 95330 63084 234751
7696 10 1162710 355001 2534710 167444 113142 425248
7696 15 1215315 407501 2744815 243199 162784 627317
7696 20 1267920 460001 2954920 309385 208762 811550
7696 25 1320525 512501 3165025 363800 245859 965441
7696 30 1373130 565001 3375130 422645 284906 1133676
7696 35 1425735 617501 3585235 497743 334204 1350737
7696 40 1478340 670001 3795340 573459 384745 1570570
7696 45 1530945 722501 4005445 637969 428590 1767155
7696 50 1583550 775001 4215550 717694 482822 2007320
7696 55 1636155 827501 4425655 791936 532297 2234493
7696 60 1688760 880001 4635760 868292 582827 2473180
7696 65 1741365 932501 4845865 929391 623330 2664527
7696 70 1793970 985001 5055970 994975 667767 2871694
7696 75 1846575 1037501 5266075 1075705 720837 3129035
7696 80 1899180 1090001 5476180 1151190 769973 3369874
7696 85 1951785 1142501 5686285 1225387 818543 3609507
7696 90 2004390 1195001 5896390 1292816 866796 3830582
7696 95 2056995 1247501 6106495 1364657 916283 4066069
7696 100 2109600 1300001 6316600 1434183 963679 4294540
2590 0 1076500 250000 2152500 500 500 500
2590 5 1130107 303501 2366607 83362 58558 209593
2590 10 1183714 357001 2580714 154746 105150 393510
2590 15 1237321 410501 2794821 233492 159955 608563
2590 20 1290928 464001 3008928 300224 202780 791684
2590 25 1344535 517501 3223035 373131 251435 994555
2590 30 1398142 571001 3437142 430354 292769 1165014
2590 35 1451749 624501 3651249 494105 337314 1352695
2590 40 1505356 678001 3865356 559397 385026 1547368
2590 45 1558963 731501 4079463 618283 423887 1724295
2590 50 1612570 785001 4293570 684938 472430 1928912
2590 55 1666177 838501 4507677 738753 508056 2095697
2590 60 1719784 892001 4721784 815701 559789 2329098
2590 65 1773391 945501 4935891 878827 602678 2526507
2590 70 1826998 999001 5149998 933736 640765 2703446
2590 75 1880605 1052501 5364105 1002140 686375 2921525
2590 80 1934212 1106001 5578212 1066017 730365 3124044
2590 85 1987819 1159501 5792319 1134033 777909 3343945
2590 90 2041426 1213001 6006426 1200749 824878 3560978
2590 95 2095033 1266501 6220533 1265730 869482 3773265
2590 100 2148640 1320001 6434640 1332206 913611 3989506
583 0 1022500 250000 2044500 500 500 500
583 5 1073602 301001 2248602 85547 53981 203732
583 10 1124704 352001 2452704 182777 115333 445496
583 15 1175806 403001 2656806 274738 174723 686404
583 20 1226908 454001 2860908 371282 232588 941434
583 25 1278010 505001 3065010 461386 287741 1191004
583 30 1329112 556001 3269112 548657 343849 1438538
583 35 1380214 607001 3473214 633085 397659 1683762
583 40 1431316 658001 3677316 708051 443995 1905258
583 45 1482418 709001 3881418 797427 497313 2170288
583 50 1533520 760001 4085520 878540 548537 2417832
583 55 1584622 811001 4289622 962025 601099 2673774
583 60 1635724 862001 4493724 1042096 653103 2925508
583 65 1686826 913001 4697826 1110726 698371 3145122
583 70 1737928 964001 4901928 1192420 751467 3407420
583 75 1789030 1015001 5106030 1282609 811228 3701992
583 80 1840132 1066001 5310132 1355460 861126 3943392
583 85 1891234 1117001 5514234 1444183 921040 4234092
583 90 1942336 1168001 5718336 1524172 978708 4506280
583 95 1993438 1219001 5922438 1593823 1028989 4744618
583 100 2044540 1270001 6126540 1671574 1083811 5008296
3907 0 965500 250000 1930500 500 500 500
3907 5 1013596 298001 2122596 105417 68541 255450
3907 10 1061692 346001 2314692 188316 125156 470082
3907 15 1109788 394001 2506788 256646 170720 653722
3907 20 1157884 442001 2698884 336450 220603 867928
3907 25 1205980 490001 2890980 437479 279958 1134620
3907 30 1254076 538001 3083076 525390 336175 1382706
3907 35 1302172 586001 3275172 595514 384692 1594386
3907 40 1350268 634001 3467268 676486 435513 1834488
3907 45 1398364 682001 3659364 754846 482948 2069858
3907 50 1446460 730001 3851460 815831 523838 2257674
3907 55 1494556 778001 4043556 891403 573527 2490948
3907 60 1542652 826001 4235652 964110 623085 2723326
3907 65 1590748 874001 4427748 1034105 667969 2943182
3907 70 1638844 922001 4619844 1103779 714938 3166652
3907 75 1686940 970001 4811940 1169830 760106 3384466
3907 80 1735036 1018001 5004036 1236819 805820 3605004
3907 85 1783132 1066001 5196132 1303807 852900 3828988
3907 90 1831228 1114001 5388228 1369507 898634 4047786
3907 95 1879324 1162001 5580324 1439803 949926 4285700
3907 100 1927420 1210001 5772420 1505356 999321 4506968
2862 0 1048500 250000 2096500 500 500 500
2862 5 1100604 302001 2304604 50497 39464 135622
2862 10 1152708 354001 2512708 99743 79792 271108
2862 15 1204812 406001 2720812 142327 111309 388530
2862 20 1256916 458001 2928916 190478 148072 524548
2862 25 1309020 510001 3137020 242038 187063 670558
2862 30 1361124 562001 3345124 297114 231201 830758
2862 35 1413228 614001 3553228 338372 264541 953688
2862 40 1465332 666001 3761332 395561 305298 1119326
2862 45 1517436 718001 3969436 448708 346412 1277714
2862 50 1569540 770001 4177540 513676 395563 1469864
2862 55 1621644 822001 4385644 558325 428152 1605620
2862 60 1673748 874001 4593748 605945 462766 1750988
2862 65 1725852 926001 4801852 655455 500357 1903138
2862 70 1777956 978001 5009956 706632 538605 2063538
2862 75 1830060 1030001 5218060 752779 572008 2208472
2862 80 1882164 1082001 5426164 797752 603054 2351380
2862 85 1934268 1134001 5634268 851671 642928 2517330
2862 90 1986372 1186001 5842372 916061 686610 2722062
2862 95 2038476 1238001 6050476 980762 730023 2926488
2862 100 2090580 1290001 6258580 1028984 761611 3080988
2474 0 1088500 250000 2176500 500 500 500
2474 5 1142608 304001 2392608 65329 44563 163684
2474 10 1196716 358001 2608716 129476 90027 333132
2474 15 1250824 412001 2824824 198109 138387 516752
2474 20 1304932 466001 3040932 264668 184986 696750
2474 25 1359040 520001 3257040 328262 230024 873468
2474 30 1413148 574001 3473148 389349 272536 1049860
2474 35 1467256 628001 3689256 451921 315502 1234506
2474 40 1521364 682001 3905364 518854 363510 1432200
2474 45 1575472 736001 4121472 589271 407219 1635300
2474 50 1629580 790001 4337580 654051 450293 1830722
2474 55 1683688 844001 4553688 716020 494189 2024076
2474 60 1737796 898001 4769796 792436 544847 2255448
2474 65 1791904 952001 4985904 862809 593355 2475642
2474 70 1846012 1006001 5202012 940054 646688 2718742
2474 75 1900120 1060001 5418120 1012008 691829 2944804
2474 80 1954228 1114001 5634228 1078601 735499 3156560
2474 85 2008336 1168001 5850336 1144665 779700 3367878
2474 90 2062444 1222001 6066444 1224450 833370 3626604
2474 95 2116552 1276001 6282552 1295193 881417 3856742
2474 100 2170660 1330001 6498660 1368122 930769 4096048
1972 0 1109500 250000 2218500 500 500 500
1972 5 1164610 305001 2438610 44056 35989 119530
1972 10 1219720 360001 2658720 105229 81288 284160
1972 15 1274830 415001 2878830 155835 122387 424264
1972 20 1329940 470001 3098940 202077 157971 554342
1972 25 1385050 525001 3319050 257902 201391 712418
1972 30 1440160 580001 3539160 302862 233647 840886
1972 35 1495270 635001 3759270 362745 281471 1018036
1972 40 1550380 690001 3979380 418053 322379 1178832
1972 45 1605490 745001 4199490 478708 364441 1358350
1972 50 1660600 800001 4419600 527228 396942 1504716
1972 55 1715710 855001 4639710 577777 432621 1659422
1972 60 1770820 910001 4859820 648271 484064 1872862
1972 65 1825930 965001 5079930 699380 520680 2033176
1972 70 1881040 1020001 5300040 760213 565013 2223632
1972 75 1936150 1075001 5520150 804073 596743 2361546
1972 80 1991260 1130001 5740260 849519 628720 2504380
1972 85 2046370 1185001 5960370 892707 661161 2642608
1972 90 2101480 1240001 6180480 952625 704908 2830774
1972 95 2156590 1295001 6400590 1012045 744452 3019558
1972 100 2211700 1350001 6620700 1058785 776768 3170304
7856 0 1094500 250000 2188500 500 500 500
7856 5 1149109 304501 2406609 71037 49782 180251
7856 10 1203718 359001 2624718 146738 101045 375020
7856 15 1258327 413501 2842827 218425 149818 564145
7856 20 1312936 468001 3060936 307724 206254 800440
7856 25 1367545 522501 3279045 395218 261893 1039485
7856 30 1422154 577001 3497154 491170 320629 1304078
7856 35 1476763 631501 3715263 554715 361190 1490967
7856 40 1531372 686001 3933372 632044 410095 1721490
